Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist
2010-03-04,44.881622314453125,514978,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6414835164835164,11.08173370361328,,,,,0,0,0,,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0309278490712805,-0.094546751867846,-0.1632302484359287,-0.0681060063798503,-0.0721649528347752,-0.0070009945624276,2.26,
2010-03-07,45.19009399414063,503558,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6373626373626373,11.26459789276123,,,,,0,0,0,0.006873006450753172,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0460753523965941,-0.1096942551931595,-0.168942114642937,-0.0738178725868586,-0.1092152561911252,-0.0440512979187777,2.28,
2010-03-08,45.34431838989258,392435,6553.990234375,80.47000122070312,17.790000915527344,1.5,0.635989010989011,11.22802448272705,,,,,0,0,0,0.003412792099346973,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0459183051098699,-0.0914492957426638,-0.1717686958940217,-0.1056303283739965,-0.1190476851476783,-0.0675843739432385,2.29,
2010-03-09,45.19009399414063,186179,6530.10009765625,79.91000366210938,17.920000076293945,1.5,0.6346153846153846,11.33774471282959,,,,,0,0,0,-0.003401184563539994,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0426622226394174,-0.0709144306201138,-0.1672355919715774,-0.0808540557486554,-0.1262799764179772,-0.078282216644931,2.28,
2010-03-10,45.03585433959961,196172,6565.9501953125,80.4800033569336,18.56999969482422,1.5,0.6332417582417582,11.301172256469728,,,,,0,0,0,-0.0034131297571768915,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.047945095828951,-0.0729483195805112,-0.166095891716322,-0.0801113356800833,-0.1232876433851304,-0.0637060216395392,2.27,
2010-03-11,45.19009399414063,147622,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6318681318681318,11.33774471282959,,,,,0,0,0,0.003424819109191457,0.006873006450753172,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0358359631250638,-0.0608391868766241,-0.168942114642937,-0.0829575586066984,-0.1177475318900939,-0.0581659101445026,2.28,
2010-03-14,45.575679779052734,354570,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6277472527472527,11.374316215515137,,,,,0,0,0,0.0085325289423408,0.0085325289423408,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.04399311950199,-0.0689963432535503,-0.1810493186336665,-0.0950647625974279,-0.1269037733844987,-0.0673221516389075,2.3,
2010-03-15,45.34431838989258,180521,6578.10009765625,77.88999938964844,18.0,1.5,0.6263736263736264,11.447464942932127,,,,,0,0,0,-0.0050764221242947105,0.0,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0391152629640033,-0.0925197109766852,-0.1564625661482823,-0.0667831886506389,-0.1207482353657743,-0.0528258434386671,2.29,
2010-03-16,45.2672004699707,249117,6613.56005859375,79.0199966430664,17.690000534057617,1.5,0.625,11.410889625549316,,,,,0,0,0,-0.0017007184727925173,0.0017062694279872392,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0374782845019919,-0.0826294376835877,-0.153321802296797,-0.0605351795237317,-0.1158432649827982,-0.0334504007126785,2.28,
2010-03-17,45.2672004699707,0,6674.41015625,81.95999908447266,16.90999984741211,1.5,0.6236263736263736,11.410889625549316,,,,,0,0,0,0.0,0.005136932201321054,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0391822374283962,-0.0681825616611672,-0.1584326498279825,-0.0740161751746161,-0.1192503281289172,-0.0316830454394941,2.28,
2010-03-18,45.65279006958008,697391,6674.41015625,81.4800033569336,16.6200008392334,1.5,0.6222527472527473,11.776625633239746,,,,,0,0,0,0.008518079218642338,0.010238882784785464,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0540542573054506,-0.0830545815382216,-0.1570945063778425,-0.072678031724476,-0.1216217447016341,-0.034054462012211,2.3,
2010-03-21,46.03837585449219,858717,6674.41015625,81.4800033569336,16.6200008392334,1.5,0.6181318681318682,11.813197135925291,,,,,0,0,0,0.008446050818020856,0.010152258346613152,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0619768485114033,-0.0909771727441743,-0.1407036591562095,-0.056287184502843,-0.1206028760053705,-0.0330355933159475,2.32,
2010-03-22,44.34180450439453,622095,6692.60986328125,80.54000091552734,16.8700008392334,1.5,0.6167582417582418,11.886344909667969,,,,,0,0,0,-0.03685124243869509,-0.022108919509561065,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0295651955473265,-0.0593159737384939,-0.1269565443311896,-0.0742745435381332,-0.0886953285538859,-0.0176647601323418,2.24,
2010-03-23,43.87911605834961,310275,6738.830078125,80.69999694824219,16.350000381469727,1.5,0.6153846153846154,11.849769592285156,,,,,0,0,0,-0.010434587658674666,-0.030664242480422876,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0175749112356485,-0.0394258851128487,-0.105447989493201,-0.0438824242537321,-0.0685413540031264,0.000295503052864,2.21,
