Date,close,volume,tasi,oil,vix,repo_rate,saibor_3m,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_5d,ret_20d,vol_ratio,bb_upper,bb_lower,bb_pct,high_52w,low_52w,dist_from_high,dist_from_low,rate_change_3m,rate_regime,saibor_change_3m,saibor_rising,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,rs_vs_alrajhi,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist
2010-03-03,29.749282836914062,331922,6478.580078125,79.25,18.82999992370605,1.5,0.6428571428571429,11.08173370361328,,,,,0,0,0,,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,0.0101689457948583,-0.053449957001707,-0.081356182574402,0.0137680594816763,-0.0440678681136963,0.0210960901586512,1.67,
2010-03-04,29.749282836914062,0,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6414835164835164,11.08173370361328,,,,,0,0,0,0.0,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,0.0067797459953047,-0.0568391568012607,-0.0847458311726879,0.0103784108833904,-0.0440678681136963,0.0210960901586512,1.67,
2010-03-07,30.757732391357425,430741,6478.580078125,78.54000091552734,18.71999931335449,1.5,0.6373626373626373,11.26459789276123,,,,,0,0,0,0.0338982811777917,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0360656855954177,-0.0996845883919832,-0.1147541441072164,-0.019629902051138,-0.0721312471668266,-0.006967288894479,1.72,
2010-03-08,31.26195526123047,515427,6553.990234375,80.47000122070312,17.790000915527344,1.5,0.635989010989011,11.22802448272705,,,,,0,0,0,0.01639336942845393,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0645163947288721,-0.110047385361666,-0.1290322403514084,-0.0628938728313832,-0.0806453561345061,-0.0291820449300663,1.75,
2010-03-09,31.06025123596192,184253,6530.10009765625,79.91000366210938,17.920000076293945,1.5,0.6346153846153846,11.33774471282959,,,,,0,0,0,-0.006452060454410935,,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0422072696414638,-0.0704594776221602,-0.1233762106668562,-0.0369946744439342,-0.0844151533631609,-0.0364173935901147,1.74,
2010-03-10,30.85857009887696,125028,6565.9501953125,80.4800033569336,18.56999969482422,1.5,0.6332417582417582,11.301172256469728,,,,,0,0,0,-0.006493222979840341,0.037287865661973285,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0522876944105422,-0.0772909181621025,-0.1372548656023342,-0.0512703095660955,-0.0784312016643038,-0.0188495799187126,1.73,
2010-03-11,30.757732391357425,69867,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6318681318681318,11.33774471282959,,,,,0,0,0,-0.0032677375262829544,0.0338982811777917,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0426233310244197,-0.06762655477598,-0.1213116035002056,-0.0353270474639669,-0.0754098838453148,-0.0158282620997236,1.72,
2010-03-14,30.757732391357425,121519,6565.9501953125,80.27999877929688,18.059999465942383,1.5,0.6277472527472527,11.374316215515137,,,,,0,0,0,0.0,0.0,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0426233310244197,-0.06762655477598,-0.1213116035002056,-0.0353270474639669,-0.0819675912863212,-0.02238596954073,1.72,
2010-03-15,30.85857009887696,186274,6578.10009765625,77.88999938964844,18.0,1.5,0.6263736263736264,11.447464942932127,,,,,0,0,0,0.00327845064247545,-0.012903388767041335,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0457517866924188,-0.0991562347051007,-0.1176468952105036,-0.0279675177128602,-0.1241829265473574,-0.0562605346202501,1.73,
2010-03-16,30.65689277648925,125858,6613.56005859375,79.0199966430664,17.690000534057617,1.5,0.625,11.410889625549316,,,,,0,0,0,-0.006535536861931535,-0.012986323143634348,,,,,,,,,,,stable,,0.0,0.0,0.0,0.0,,,,-0.0427634073726308,-0.0879145605542266,-0.1184213366966461,-0.0256347139235808,-0.121710571135854,-0.0393177068657343,1.72,
